ride_id,user_id,city,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_time,duration_minutes,distance_km,speed_kmh,incident_reported,route_deviation,safety_score,time_of_day,timestamp
1,1,Chennai,12.9878,80.3121,12.9939,80.2196,00:18,54,20.47,22.74,No,No,0.66,night,2025-01-01T00:00:00
2,2,Chennai,13.124,80.2278,13.1016,80.3002,04:43,41,3.8,5.56,No,No,0.56,night,2025-01-01T04:00:00
3,3,Chennai,13.0453,80.3356,13.1097,80.2075,12:31,79,7.68,5.83,No,No,0.69,day,2025-01-01T12:00:00
4,4,Chennai,13.1048,80.2801,13.0705,80.27,05:10,47,10.13,12.93,No,No,0.73,night,2025-01-01T05:00:00
5,5,Chennai,13.0023,80.3454,13.0071,80.2992,01:25,36,23.62,39.37,No,No,0.52,night,2025-01-01T01:00:00
6,6,Chennai,12.9857,80.3419,13.0308,80.3357,08:06,10,9.62,57.72,No,Yes,0.87,day,2025-01-01T08:00:00
7,7,Chennai,13.1512,80.2701,13.0678,80.2473,15:55,7,3.19,27.34,No,No,0.94,day,2025-01-01T15:00:00
8,8,Chennai,13.0928,80.2899,13.1353,80.2958,05:03,27,23.81,52.91,No,No,0.54,night,2025-01-01T05:00:00
9,9,Lucknow,26.8126,80.9475,26.9453,80.942,05:39,21,17.34,49.54,No,No,0.62,night,2025-01-02T05:00:00
10,10,Lucknow,26.8535,80.9903,26.9076,80.9853,21:37,5,21.98,263.76,No,Yes,0.66,day,2025-01-02T21:00:00
11,11,Lucknow,26.8444,80.866,26.8346,81.0283,15:31,79,10.22,7.76,No,Yes,0.71,day,2025-01-02T15:00:00
12,12,Lucknow,26.8122,80.8552,26.9034,81.0045,22:31,53,23.59,26.71,No,Yes,0.63,night,2025-01-02T22:00:00
13,13,Lucknow,26.8376,80.9867,26.9326,80.9713,22:35,74,21.21,17.2,No,No,0.63,night,2025-01-02T22:00:00
14,14,Lucknow,26.7842,80.8694,26.8104,80.962,23:42,89,4.89,3.3,No,No,0.55,night,2025-01-02T23:00:00
