traffic_id,city,date,hour,vehicle_count,congestion_level,average_speed_kmh,accident_count,weather_condition,timestamp
1,Bengaluru,2025-01-01,0,238,Low,55.6,1,Clear,2025-01-01T00:00:00
2,Mumbai,2025-01-01,0,127,Low,54.97,1,Clear,2025-01-01T00:00:00
3,Delhi,2025-01-01,0,109,Low,56.31,1,Rainy,2025-01-01T00:00:00
4,Chennai,2025-01-01,0,225,Low,67.74,1,Rainy,2025-01-01T00:00:00
5,Lucknow,2025-01-01,0,104,Low,59.38,1,Rainy,2025-01-01T00:00:00
6,Kolkata,2025-01-01,0,172,Low,51.2,1,Clear,2025-01-01T00:00:00
7,Hyderabad,2025-01-01,0,208,Medium,50.2,1,Clear,2025-01-01T00:00:00
8,Ahmedabad,2025-01-01,0,102,Low,56.4,2,Cloudy,2025-01-01T00:00:00
9,Pune,2025-01-01,0,48,Low,67.21,0,Cloudy,2025-01-01T00:00:00
10,Jaipur,2025-01-01,0,272,Low,57.74,0,Rainy,2025-01-01T00:00:00
11,Bengaluru,2025-01-01,1,72,Low,59.45,0,Rainy,2025-01-01T01:00:00
12,Mumbai,2025-01-01,1,85,Low,52.64,2,Cloudy,2025-01-01T01:00:00
13,Delhi,2025-01-01,1,265,Low,66.33,1,Cloudy,2025-01-01T01:00:00
14,Chennai,2025-01-01,1,292,Low,60.41,0,Cloudy,2025-01-01T01:00:00
15,Lucknow,2025-01-01,1,259,Low,56.3,0,Rainy,2025-01-01T01:00:00
16,Kolkata,2025-01-01,1,193,Low,65.05,2,Cloudy,2025-01-01T01:00:00
17,Hyderabad,2025-01-01,1,125,Medium,67.35,2,Cloudy,2025-01-01T01:00:00
18,Ahmedabad,2025-01-01,1,200,Low,59.79,1,Cloudy,2025-01-01T01:00:00
19,Pune,2025-01-01,1,126,Low,62.9,1,Clear,2025-01-01T01:00:00
20,Jaipur,2025-01-01,1,46,Low,59.36,1,Rainy,2025-01-01T01:00:00
21,Bengaluru,2025-01-01,2,169,Medium,66.27,1,Cloudy,2025-01-01T02:00:00
22,Mumbai,2025-01-01,2,262,Medium,68.52,2,Rainy,2025-01-01T02:00:00
23,Delhi,2025-01-01,2,32,Low,52.74,2,Clear,2025-01-01T02:00:00
24,Chennai,2025-01-01,2,90,Medium,61.02,2,Clear,2025-01-01T02:00:00
25,Lucknow,2025-01-01,2,68,Medium,62.9,0,Cloudy,2025-01-01T02:00:00
26,Kolkata,2025-01-01,2,259,Low,50.18,2,Clear,2025-01-01T02:00:00
27,Hyderabad,2025-01-01,2,211,Low,54.1,2,Clear,2025-01-01T02:00:00
28,Ahmedabad,2025-01-01,2,295,Medium,68.78,2,Rainy,2025-01-01T02:00:00
29,Pune,2025-01-01,2,172,Low,66.12,1,Clear,2025-01-01T02:00:00
30,Jaipur,2025-01-01,2,106,Low,51.95,2,Rainy,2025-01-01T02:00:00
