district,latitude,longitude,population_density,theft,robbery,molestation,cruelty_by_husband,pocso,rape,dacoity,murder,weighted_crime_score,safety_index,hour_of_day,is_night,is_weekend,speed,route_deviation,severity
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,20,0,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,1,20,0,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,1,20,0,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,20,1,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,20,1,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,20,1,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,40,0,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,1,40,0,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,40,0,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,1,40,1,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,40,1,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,1,40,1,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,1,60,0,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,60,0,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,60,0,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,60,1,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,60,1,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,60,1,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,80,0,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,80,0,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,80,0,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,80,1,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,80,1,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,6,0,0,80,1,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,20,0,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,1,20,0,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,20,0,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,20,1,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,20,1,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,20,1,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,40,0,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,40,0,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,40,0,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,1,40,1,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,1,40,1,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,1,40,1,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,60,0,low
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,60,0,medium
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,60,0,high
Bengaluru City,12.9716,77.5946,18000,9605.0,693.0,1251.0,0,586.0,167.0,67.0,176.0,8204.100000000002,0.0,10,0,0,60,1,low
